0,2683
1,1347
2,7311
3,589
4,10796
5,727
6,3206
7,12320
8,13689
9,5455
10,1271
11,916
12,8958
13,14060
14,9297
15,13249
16,6689
17,10182
18,115
19,15780
20,14682
21,378
22,5012
23,10932
24,2060
25,8780
26,15978
27,11897
28,12920
29,8040
30,13208
31,492
32,16205
33,2586
34,14589
35,10686
36,3614
37,5409
38,6208
39,6317
40,5997
41,7915
42,10329
43,4675
44,10548
45,4522
46,711
47,9010
48,16350
49,15552
50,15164
51,15745
52,803
53,8433
54,11493
55,12681
56,1759
57,9277
58,13813
59,7842
60,14295
61,6895
62,6736
63,9421
64,4078
65,11957
66,4825
67,2161
68,6196
69,11904
70,7190
71,9023
72,8037
73,13268
74,5309
75,7613
76,10284
77,15182
78,5480
79,15438
80,3642
81,15458
82,2029
83,10173
84,10091
85,6986
86,9536
87,3703
88,7364
89,11164
90,1454
91,15454
92,13242
93,7561
94,2269
95,2987
96,13254
97,10780
98,1376
99,16380
100,8980
101,10937
102,2531
103,15991
104,15124
105,3733
106,3687
107,8709
108,14015
109,13910
110,15063
111,14452
112,4828
113,12451
114,14056
115,14265
116,5169
117,10684
118,398
119,14835
120,9914
121,15691
122,5899
123,709
124,16204
125,10506
126,15845
127,11723
128,5847
129,7958
130,3159
131,14633
132,2175
133,9389
134,12935
135,7954
136,6389
137,11157
138,6068
139,12394
140,6026
141,3462
142,385
143,910
144,10530
145,9525
146,14020
147,10233
148,7447
149,16053
150,9972
151,4757
152,1804
153,949
154,8506
155,1083
156,4670
157,12978
158,11469
159,7776
160,9830
161,6728
162,4122
163,4581
164,978
165,3503
166,15031
167,14802
168,1956
169,2925
170,15654
171,3731
172,15242
173,14317
174,791
175,4376
176,2780
177,13491
178,9917
179,8981
180,13311
181,7901
182,5581
183,11067
184,12136
185,4140
186,15034
187,4226
188,9227
189,10653
190,5231
191,6531
192,610
193,7260
194,11371
195,9622
196,5691
197,2421
198,15451
199,12478
200,2216
201,10005
202,12280
203,11083
204,461
205,508
206,5513
207,7552
208,4816
209,3974
210,6039
211,9679
212,8184
213,7242
214,814
215,6363
216,6637
217,3365
218,14872
219,4651
220,6641
221,16230
222,4700
223,6518
224,15809
225,8644
226,15210
227,15196
228,4707
229,5827
230,5675
231,9562
232,9895
233,8161
234,10196
235,10370
236,8079
237,12126
238,12450
239,1678
240,8286
241,15024
242,12295
243,14114
244,7823
245,10366
246,125
247,96
248,7343
249,11676
250,2897
251,9705
252,8465
253,6258
254,12579
255,7189
256,15316
257,3616
258,9440
259,9620
260,4998
261,5610
262,2080
263,8961
264,11849
265,228
266,5473
267,10197
268,6380
269,8360
270,1962
271,16164
